,date,home,score,away_team
260,29-01-2023,Ajaccio,0 - 2,Lyon
261,01-02-2023,Lyon,0 - 0,Brest
262,04-02-2023,Troyes,1 - 3,Lyon
263,12-02-2023,Lyon,2 - 1,Lens
264,17-02-2023,Auxerre,2 - 1,Lyon
265,25-02-2023,Angers,1 - 3,Lyon
266,05-03-2023,Lyon,0 - 0,Lorient
267,10-03-2023,Lille,3 - 3,Lyon
268,17-03-2023,Lyon,1 - 1,Nantes
269,02-04-2023,Paris SG,0 - 1,Lyon
270,09-04-2023,Lyon,? - ?,Rennes
271,07-08-2022,Marseille,4 - 1,Reims
272,14-08-2022,Brest,1 - 1,Marseille
273,20-08-2022,Marseille,2 - 1,Nantes
274,28-08-2022,Nice,0 - 3,Marseille
275,31-08-2022,Marseille,1 - 0,Clermont
276,03-09-2022,Auxerre,0 - 2,Marseille
277,10-09-2022,Marseille,2 - 1,Lille
278,18-09-2022,Marseille,1 - 1,Rennes
279,30-09-2022,Angers,0 - 3,Marseille
280,08-10-2022,Marseille,1 - 2,Ajaccio
281,16-10-2022,Paris SG,1 - 0,Marseille
282,22-10-2022,Marseille,0 - 1,Lens
283,29-10-2022,Strasbourg,2 - 2,Marseille
284,06-11-2022,Marseille,1 - 0,Lyon
285,13-11-2022,Monaco,2 - 3,Marseille
286,29-12-2022,Marseille,6 - 1,Toulouse
287,02-01-2023,Montpellier,1 - 2,Marseille
288,11-01-2023,Troyes,0 - 2,Marseille
289,14-01-2023,Marseille,3 - 1,Lorient
290,28-01-2023,Marseille,1 - 1,Monaco
291,01-02-2023,Nantes,0 - 2,Marseille
292,05-02-2023,Marseille,1 - 3,Nice
293,11-02-2023,Clermont,0 - 2,Marseille
294,19-02-2023,Toulouse,2 - 3,Marseille
295,26-02-2023,Marseille,0 - 3,Paris SG
296,05-03-2023,Rennes,0 - 1,Marseille
297,12-03-2023,Marseille,2 - 2,Strasbourg
298,19-03-2023,Reims,1 - 2,Marseille
299,31-03-2023,Marseille,1 - 1,Montpellier
300,09-04-2023,Lorient,? - ?,Marseille
301,06-08-2022,Strasbourg,1 - 2,Monaco
302,13-08-2022,Monaco,1 - 1,Rennes
303,20-08-2022,Monaco,1 - 4,Lens
304,28-08-2022,Paris SG,1 - 1,Monaco
305,31-08-2022,Monaco,2 - 4,Troyes
306,04-09-2022,Nice,0 - 1,Monaco
307,11-09-2022,Monaco,2 - 1,Lyon
308,18-09-2022,Reims,0 - 3,Monaco
309,02-10-2022,Monaco,4 - 1,Nantes
310,09-10-2022,Montpellier,0 - 2,Monaco
311,16-10-2022,Monaco,1 - 1,Clermont
312,23-10-2022,Lille,4 - 3,Monaco
313,30-10-2022,Monaco,2 - 0,Angers
314,06-11-2022,Toulouse,0 - 2,Monaco
315,13-11-2022,Monaco,2 - 3,Marseille
316,28-12-2022,Auxerre,2 - 3,Monaco
317,01-01-2023,Monaco,1 - 0,Brest
318,11-01-2023,Lorient,2 - 2,Monaco
319,15-01-2023,Monaco,7 - 1,Ajaccio
320,28-01-2023,Marseille,1 - 1,Monaco
321,01-02-2023,Monaco,3 - 2,Auxerre
322,05-02-2023,Clermont,0 - 2,Monaco
323,11-02-2023,Monaco,3 - 1,Paris SG
324,19-02-2023,Brest,1 - 2,Monaco
325,26-02-2023,Monaco,0 - 3,Nice
326,05-03-2023,Troyes,2 - 2,Monaco
327,12-03-2023,Monaco,0 - 1,Reims
328,19-03-2023,Ajaccio,0 - 2,Monaco
329,02-04-2023,Monaco,4 - 3,Strasbourg
330,09-04-2023,Nantes,? - ?,Monaco
331,07-08-2022,Montpellier,3 - 2,Troyes
332,13-08-2022,Paris SG,5 - 2,Montpellier
333,21-08-2022,Montpellier,1 - 2,Auxerre
334,28-08-2022,Brest,0 - 7,Montpellier
335,31-08-2022,Montpellier,2 - 0,Ajaccio
336,04-09-2022,Montpellier,1 - 3,Lille
337,11-09-2022,Angers,2 - 1,Montpellier
338,17-09-2022,Montpellier,2 - 1,Strasbourg
339,02-10-2022,Toulouse,4 - 2,Montpellier
340,09-10-2022,Montpellier,0 - 2,Monaco
341,15-10-2022,Lens,1 - 0,Montpellier
342,22-10-2022,Montpellier,1 - 2,Lyon
343,30-10-2022,Rennes,3 - 0,Montpellier
344,06-11-2022,Clermont,1 - 1,Montpellier
345,13-11-2022,Montpellier,1 - 1,Reims
346,29-12-2022,Lorient,0 - 2,Montpellier
347,02-01-2023,Montpellier,1 - 2,Marseille
348,11-01-2023,Nice,6 - 1,Montpellier
349,15-01-2023,Montpellier,0 - 3,Nantes
350,29-01-2023,Auxerre,0 - 2,Montpellier
351,01-02-2023,Montpellier,1 - 3,Paris SG
352,05-02-2023,Strasbourg,2 - 0,Montpellier
353,12-02-2023,Montpellier,3 - 0,Brest
354,19-02-2023,Troyes,0 - 1,Montpellier
355,25-02-2023,Montpellier,1 - 1,Lens
356,05-03-2023,Montpellier,5 - 0,Angers
